at,CONTENT,RATING,LABELING
2025-12-11 17:33:04,sangat bermanfaat bagi kita masyarakat untuk berobat ... terimakasih JKN,5,POSITIVE
2025-12-11 16:55:50,baik tapi perlu di tingkatkan,4,POSITIVE
2025-12-11 16:48:29,bjs gratis cmak kali pakai,5,POSITIVE
2025-12-11 16:27:12,Muantap __,5,POSITIVE
2025-12-11 15:58:47,"apalah jelek bngt apknya, mau masuk aja try again_ sampe mabok, pdhl ngisi format sesuai",1,NEGATIVE
2025-12-11 15:48:59,sangat membantu,5,POSITIVE
2025-12-11 15:42:36,sangat membantu,5,POSITIVE
2025-12-11 15:41:01,bagus cepat dan mudah,5,POSITIVE
2025-12-11 14:58:30,cukup membantu mudah di akses,4,POSITIVE
2025-12-11 14:44:39,"gk penting banget nih aplikasi, cuman buat buang duit pemerintahan. gk lucu bpjs dkk, mau masuk ugd suruh download aplikasi ini dulu.",3,NEGATIVE
2025-12-11 14:33:30,mantap,5,POSITIVE
2025-12-11 14:32:40,dgn JKN semua dipermudah,5,POSITIVE
2025-12-11 14:23:51,cuma biasa mohon maaf.. mohon maaf tapi tidak memperbaiki sistem nya,1,NEGATIVE
2025-12-11 14:14:05,quick respon,5,POSITIVE
2025-12-11 13:47:38,bagus sangat bermanfaat bagi pengguna pelosok,5,POSITIVE
2025-12-11 13:37:57,Memudahkan untuk administrasi berobat,5,POSITIVE
2025-12-11 13:34:52,memudahkan ganti faskes mantap,5,POSITIVE
2025-12-11 13:18:59,Ga bisa digunakan lagi,1,NEGATIVE
2025-12-11 13:10:58,Sangat membantu,5,POSITIVE
2025-12-11 13:04:02,kenapa gak bisa dipake ambil antrean ya? kok cuma tersedia di wilayah Bali aja sih,1,NEGATIVE
2025-12-11 12:55:12,praktis,5,POSITIVE
2025-12-11 12:45:45,baik,5,POSITIVE
2025-12-11 12:43:47,"setiap pembaharuan suka keluar akun terus, dan susah untuk menanyakan lupa sandi",5,NEGATIVE
2025-12-11 12:29:15,"Untuk memverifikasi tidak bisa,,,",1,NEGATIVE
2025-12-11 12:21:03,bagus,5,POSITIVE
2025-12-11 12:14:39,berfungsi dan bermanfaat,5,POSITIVE
2025-12-11 12:08:41,sangat membantu sekali dan mempermudah akses pendaftaran,5,POSITIVE
2025-12-11 11:50:04,Mantap,5,POSITIVE
2025-12-11 11:48:39,"aplikasi selalu logout sendiri,untuk masuk kembali juga sangat sulit padahal sebelumnya sudah pernah dipakai hampir 7bln tidak bisa dibuka aplikasinya",1,NEGATIVE
2025-12-11 11:33:24,bagus,5,POSITIVE
2025-12-11 11:32:11,semisalnya kita udah ambil antrian online apakah bisa ada tambahan biar kita bisa cek lagi soalnya habis itu ga bisa lihat lagi nomor antrian nya kalo ga di screenshot,5,NEGATIVE
2025-12-11 11:30:37,sangat baik unt pengguna bpjs,5,POSITIVE
2025-12-11 11:25:49,semakin mudah dg aplikasi JKN,5,POSITIVE
2025-12-11 11:25:01,"saat dafta online ketika pilih nama pemilik kartu blank, IT nya kurang canggih",1,NEGATIVE
2025-12-11 11:03:17,mantap,5,POSITIVE
2025-12-11 10:59:46,sangat memebantu,5,POSITIVE
2025-12-11 10:59:38,Alhamdulillah mudah digunakan,5,POSITIVE
2025-12-11 10:50:41,aneh udah tau yang sakit nya repot mlh daftar nya suruh senyum aplikasi nya ada ada aja verivikasi nya padahal wajah doank juga bisa kan ribet banget,1,NEGATIVE
2025-12-11 10:35:36,"antrian lewat bpjs ternya tidak berguna, sampai tem juga harus antri manual.",1,NEGATIVE
2025-12-11 10:14:08,semoga lebih canggih lagi,5,POSITIVE
2025-12-11 10:08:12,top,5,POSITIVE
2025-12-11 10:07:02,sangat membantu,5,POSITIVE
2025-12-11 10:01:06,aplikasi nya sangat mudah di pahami,5,POSITIVE
2025-12-11 9:58:15,sangat membantu dan memudahkan,5,POSITIVE
2025-12-11 9:56:12,aplikasi tolol bengak,1,NEGATIVE
2025-12-11 9:55:33,bagus,5,POSITIVE
2025-12-11 9:55:05,app jelek loading melulu captcha tidak muncul,1,NEGATIVE
2025-12-11 9:49:27,sangat membantu,5,POSITIVE
2025-12-11 9:45:40,sangat membantu,5,POSITIVE
2025-12-11 9:41:06,pelayanan sangat baik_________,5,POSITIVE
2025-12-11 9:27:56,"minta update mulu, padahal yg musti di update sistem didalamnya",1,NEGATIVE
2025-12-11 9:26:58,semenjak di perbarui ga bisa login payah __,1,NEGATIVE
2025-12-11 9:26:47,"ga jelas banget, log out sendiri. Giliran masuk semua salah, masuk via lupa paswword error. niat simpel, tp tetep nyusahin aplikasi.",1,NEGATIVE
2025-12-11 9:20:03,Sangat membantu dalam proses menjaga kesehatan,5,POSITIVE
2025-12-11 9:12:11,sangat berguna sekali,5,POSITIVE
2025-12-11 8:57:25,Sangat membantu.,5,POSITIVE
2025-12-11 8:39:46,Sangat membantu sekali,5,POSITIVE
2025-12-11 8:33:40,"sering logout sendiri rep. Iya tinggal login, tapi tiap butuh logout lagi, jadi kudu login lagi. kan repot.",1,NEGATIVE
2025-12-11 8:26:08,nomor NIk sudah terdaftar minta ganti sandi pakai email pakai nomor hp gk bisa,2,NEGATIVE
2025-12-11 8:24:55,mantap tambah cepat pelayanannya,4,POSITIVE
2025-12-11 8:23:53,bagus,5,POSITIVE
2025-12-11 8:08:41,mau verifikasi wajah aja dibikin susah banget,1,NEGATIVE
2025-12-11 8:03:56,Pelayanan yang sangat bagus,5,POSITIVE
2025-12-11 8:01:09,"aplikasi setelah di update malah blank layarnya jadi abu saat mau daftar berobat, sepertinya ada bug",2,NEGATIVE
2025-12-11 7:51:14,sangat membantu,5,POSITIVE
2025-12-11 7:42:58,good,5,POSITIVE
2025-12-11 7:32:45,sangat bermanfaat dan membantu.maju dsn berjuang terus untuk rakyat indonesia.,5,POSITIVE
2025-12-11 7:27:38,bagus,5,POSITIVE
2025-12-11 6:53:53,lebih mudah,5,POSITIVE
2025-12-11 6:48:17,loding lambat,4,NEGATIVE
2025-12-11 6:33:23,"bagusss, memudahkan",5,POSITIVE
2025-12-11 6:31:00,memuaskan pelanggannya,5,POSITIVE
2025-12-11 6:22:23,"gak jelas mau antri online poli gigi h-1 , udh di tunggu2 giliran mau pas booking jam 1 via aplikasi malah error . buang2 waktu aplikasi kesehatan paling buruk",1,NEGATIVE
2025-12-11 6:13:46,sangat baik,5,POSITIVE
2025-12-11 6:13:28,jos,5,POSITIVE
2025-12-11 6:12:14,good,5,POSITIVE
2025-12-11 6:11:11,sangat baik,5,POSITIVE
2025-12-11 6:05:13,ok,5,POSITIVE
2025-12-11 5:51:31,sangat membantu sekali dalam pelayanan kesehatan,5,POSITIVE
2025-12-11 5:49:01,ok sicoba,5,POSITIVE
2025-12-11 5:10:21,"sudah canggih,mantap",5,POSITIVE
2025-12-11 4:55:44,peraturan apa lagi udah bansos w di setop bpjs tidak tangung..w udah susah jangan bikin tambah susah...,5,NEGATIVE
2025-12-11 4:52:58,sangat bermanpaat sekali trimakasih jkn,5,POSITIVE
2025-12-11 4:51:43,sangat membantu,5,POSITIVE
2025-12-11 4:50:53,"ngirim otp lama banget. sini mau ambil antrian aja kudu ngisi nomer telpon segala, setelah diisi perlu verifikasi otp. ehh lelet banget gak ngirim ngirim otpnya",1,NEGATIVE
2025-12-11 4:47:27,"aplikasi mudah digunakan namun harus terus di-update yah, tambah pelayanan nya mantaaplp",5,POSITIVE
2025-12-11 4:39:04,sangat mudah,4,POSITIVE
2025-12-11 4:31:41,udah daftar tapi nggak bisa masuk gimana nih? apa mau disalah gunakan nomer NIK nya?,3,NEGATIVE
2025-12-11 4:25:13,sangat membantu,5,POSITIVE
2025-12-11 4:18:47,Sangat membantu. Terima kasih,5,POSITIVE
2025-12-11 4:18:04,membantu,5,POSITIVE
2025-12-11 4:17:13,"kenapa setiap aplikasi pemerintah rued ribet, rebet, dari kata sandi salah aja cuma di kasih 3x kesempatan udahnya nunggu lagi sampe ber menit menit Lolo",1,NEGATIVE
2025-12-11 4:12:43,aplikasi sangat membantu,5,POSITIVE
2025-12-11 4:07:18,sangat membantu,5,POSITIVE
2025-12-11 4:00:26,Memudahkan pasien untuk tdk terlalu lama antri.,5,POSITIVE
2025-12-11 3:56:39,puas,5,POSITIVE
2025-12-11 3:43:34,"Buset gua mau login gabiss katanya NIK tidak terdaftar giliran mau cek daftar malah no HP telah di gunakan pas LUPA sandi malah NIK tidak terdaftar juga, GIMANA INI KONSEPNYA,HARUS GIMANA??",1,NEGATIVE
2025-12-11 3:43:28,sangat praktis,5,POSITIVE
2025-12-11 3:35:30,ok,5,POSITIVE
2025-12-11 3:32:53,sangat cepat dan bagus,5,POSITIVE
2025-12-11 3:21:42,"knpa ada bug ?? apa masih perbaikan ? bagian nomor hp di perubahan data peserta,",2,NEGATIVE
2025-12-11 3:19:24,aplikasi bagus,5,POSITIVE
2025-12-11 3:00:16,sangat mudah di gunakan,5,POSITIVE
2025-12-11 2:44:28,mantap,5,POSITIVE
2025-12-11 2:37:24,ribet tidak bisa kirim kode OTP,2,NEGATIVE
2025-12-11 2:36:16,mantap,5,POSITIVE
2025-12-11 2:18:14,cukup memudahkan,5,POSITIVE
2025-12-11 2:00:12,sangat membantu,4,POSITIVE
2025-12-11 1:59:52,"sangat mudah di gunakan, dan sangat memudahkan",5,POSITIVE
2025-12-11 1:56:39,Setelah di gratiskan kok faskes nya jadi pindah ya mau pindah lagi harus nunggu 3 bulan padahal mau dipakai di faskes terdekat,1,NEGATIVE
2025-12-11 1:49:36,untuk perubahan nomor telepon yang tercantum sangat susah.. ber ulang ulang kali tdk ada kiriman otp,4,NEGATIVE
2025-12-11 1:42:55,"verifikasi no.Hp gk masuk_ di SMS, di pilihan WA juga engga ada... Tolong perbaiki lah, Mau ambil nomor antrean aja susah bgt perkara ngisi No.Hp ndak bisa_... Broken bet Aplikasinya",1,NEGATIVE
2025-12-11 1:33:19,tolong di perbaiki lagi apk jkn mobile punya saya eror dan tidak bisa daftar online di faskes tingkat lanjut,5,POSITIVE
2025-12-11 1:31:45,keren,5,POSITIVE
2025-12-11 1:18:29,mudah di gunakan,5,POSITIVE
2025-12-11 1:13:41,____________,5,POSITIVE
2025-12-11 1:02:43,mantap untuk membantu pelayanan kesehatan masyarakat dan memudahkan akses berobat,5,POSITIVE
2025-12-11 1:01:42,memudahkan pengguna jika mau ganti paskes kesehatan tidak harus ke kantor BPJS nya lagi,4,POSITIVE
2025-12-11 0:57:45,Sangat membantu dalam Perubahan data apapun,5,POSITIVE
2025-12-11 0:56:53,"gimana sih aplikasinya ini menyusahkan sekali sejak diperbarui, padahal awal dulu mudah, sekarang ribet banget. disuruh login masukin NIK dan password tetep aja salah padahal itu Uda bener seperti yg dulu awal bikin, masuk ke lupa kata sandi disuruh masuk",2,NEGATIVE
2025-12-11 0:43:30,"jujur saja apk nya menyusahkan. mana tidak bisa di ss lagi. mau masuk aja susah banget, kode verify nya gak pernah dikirim-kirim.",1,NEGATIVE
2025-12-11 0:27:37,"mantap, memuaskan",5,POSITIVE
2025-12-11 0:24:00,sangat memmbantu,5,POSITIVE
2025-12-11 0:23:35,top,5,POSITIVE
2025-12-11 0:04:57,"Sederhana sajalah buat aplikasi mu jangan berlebihanlah, sebutkan nama untuk bulan yang lagi di bayarkan di setiap struk pembayaran biar jelas dan ingat, jangan ada lagi denda rawat inaplah biar rumah sakit tidak mempersulit pasien, kalau tidak bayar iura",1,NEGATIVE
2025-12-10 23:47:59,bisa berobat kemana saja berada,5,POSITIVE
2025-12-10 23:20:21,"saya setiap bulan selalu bayar tagihan BPJS tidak pernah telat tidak pernah lupa, tp nggak tau kenapa dibulan Desember kena premi, coba saya cek info pembayaran dibulan November tidak tercatat, terakhir pembayaran bulan 10, pdhl bulan 11 saya sudah bayar,",1,NEGATIVE
2025-12-10 21:06:31,sangat membantu sekali,5,POSITIVE
2025-12-10 20:15:54,"captcha gak keluar""",1,NEGATIVE
2025-12-10 20:14:29,sangat bermanfaat dalam mengambil antrian jadi TDK lama di RS,5,POSITIVE
2025-12-10 20:05:19,kok GK bisa di buka ya los konek terus padahal wifi normal,5,NEGATIVE
2025-12-10 18:44:52,main naik versi makin menyusahkan...tidak bisa login captcha loading terus,1,NEGATIVE
2025-12-10 18:25:17,Masa saya sudah pake wifi maupun kuota tapi masih kebaca anda offline gimna ini,2,NEGATIVE
2025-12-10 17:57:18,"setelah update aplikasi malah suruh periksa jaringan mulu , padahal dibuat yt dll aman2 aja tapi di aplikasi suruh periksa jaringan mulu",1,NEGATIVE
2025-12-10 17:53:47,"kenapa ya kalau udh tengah malam suka gangguan, loading lama bgt, malah ngga bisa di akses sama sekali. padahal internet lancar.",4,POSITIVE
2025-12-10 17:44:11,"memang aplikasi paling buruk.. mau daftar rujukan aja susah periksa jaringan padahal wifi manteng trus, giliran bayar aja telat sebulan lgsung off tapi ini apkikasi bner2 najis .",1,NEGATIVE
2025-12-10 17:40:17,kenapa saya log in tidak bisa kode capcha muter terus,1,NEGATIVE
2025-12-10 17:38:42,aplikasi biasane gunanya buat memudahkan manusia klau ini malah pempersulit____,1,NEGATIVE
2025-12-10 17:38:39,bagus,5,POSITIVE
2025-12-10 17:35:44,lemot,1,NEGATIVE
2025-12-10 17:19:41,aplikasi eror sudah online tapi pas buka jaringa offline,1,NEGATIVE
2025-12-10 17:16:12,"aplikasi ampas, mau ambil antrian malah error",1,NEGATIVE
2025-12-10 17:13:01,apaan mau daftar aja capcha nya loding terus,1,NEGATIVE
2025-12-10 17:10:27,"bagaimana ini ,setelah di-update ke versi terbaru malah tak bisa login.selalu layar keluar tulisan periksa koneksi internet . padahal semua data dan koneksi WiFi full",2,NEGATIVE
2025-12-10 17:06:51,"waktu ada kepentingan malah gabisa di login, padahal signal lancar normal"" aja",2,NEGATIVE
2025-12-10 17:05:59,"sangat mengecewakan, jaringan lancar wifi atau pakai paket data, tetapi tetap susah untuk login, captcha tidak muncul sudah di tunggu lama.., sudah di ubah jaringan, mengecewakan.., udahlah ribet..",1,NEGATIVE
2025-12-10 17:05:51,"apk kocak, mempersulit.. jaringan bagus tapi lag bat buat apa_ mending di jaksehat lancar jaya...",1,NEGATIVE
2025-12-10 16:57:23,CAPTCHA MUTER MUTER TERUS GA BISA LOGIN. APLIKASI MACAM APA INI.,1,NEGATIVE
2025-12-10 16:54:03,"Agak bingung kenapa setelah di upgrade bukannya semakin baik malah jd kacau. Sblm upgrade bisa screenshoot utk tiket pemeriksaan skrg sdh tdk bisa, kalau sistem baik2 sj tdk masalah tp skrg saat mau buka sll keluar cek koneksi internet smp bosen buka tutu",1,NEGATIVE
2025-12-10 16:53:38,"Mau login udah 3hari kaga bisa2 gara2 capthanya gak keluar2 muter terus. Sedangkan skrg mau daftar faskes 1 harus lewat JKN, nyusahin bgt ini 3hari loh bener2 GAK BISA!!",1,NEGATIVE
2025-12-10 16:53:18,"setiap mau bayar cicilan dan mau lihat nomornya slalu ada aja masalah sama apk nya.knp liat apk? karna kartunya udh hilang. dan setiap mau bayar slalu di update, setelah di update bukannya makin lancar di gunakan mala akun kluar dri apk dan disuruh masuka",2,NEGATIVE
2025-12-10 16:50:56,sampah mau masih nunggu gatcha aja loading nya malam sampai subuh,1,NEGATIVE
2025-12-10 16:50:47,error terus gabisa digunain pake wifi atau paket data tetep aja rusakkk,1,NEGATIVE
2025-12-10 16:33:29,"Indonesia, Indonesia hadeh, kapan mau maju kalo aplikasi sepenting ini aja sering eror koneksi, apa gakbisa beli server yang bagusan, sinyal aman kok buka aplikasinya gakbisa",1,NEGATIVE
2025-12-10 16:32:27,terlalu banyak bug.,1,NEGATIVE
2025-12-10 16:30:47,mau log in susah min padahal udah di perbarui data masih banyak..kasih solusi min,5,POSITIVE
2025-12-10 16:18:10,kode captcha ga keluar2,1,NEGATIVE
2025-12-10 16:15:48,"sangat buruk,susah untuk login, mau ngecek dan daftar akun tidak bisa, buruk banget",1,NEGATIVE
2025-12-10 16:12:08,good,5,POSITIVE
2025-12-10 16:03:27,"aplikasi pemerintah kaya gini ada aja kendalanya , captca ngga keluar lama",1,NEGATIVE
2025-12-10 16:00:06,gangguan tidak dapat diakses,1,NEGATIVE
2025-12-10 15:59:39,"Buruk, sering gangguan, keterangan tidak ada internet, padahal kuota banyak, buka youtube lancar, browsing dll lancar.",1,NEGATIVE
2025-12-10 15:59:30,kenapa ni login malah terdeteksi offline? padahal wifi on nyala terus,1,NEGATIVE
2025-12-10 15:58:57,susah buat login kode capca nya muter terus,1,NEGATIVE
2025-12-10 15:46:15,"aplikasi sampah gatcha muter"" doang",1,NEGATIVE
2025-12-10 15:40:10,aplikasi gak bisa di pake,1,NEGATIVE
2025-12-10 15:38:20,"sangat membantu, terimakasih BPJS dan Aplikasi JKN________",5,POSITIVE
2025-12-10 15:26:17,"koneksi aman... buat youtube, aman buat game aman buat buka applikasi ini, kok disuruh cek koneksi? parah",1,NEGATIVE
2025-12-10 15:25:15,bagus,5,POSITIVE
2025-12-10 15:20:59,mobile jkn memudahkan pelayanan,5,POSITIVE
2025-12-10 15:19:28,"Kemajuan aplikasi mobile jkn lebih bagus lagi, semogga selalu update lebih bagus lagi",5,POSITIVE
2025-12-10 15:12:00,membantu,5,POSITIVE
2025-12-10 15:02:19,oke,5,POSITIVE
2025-12-10 15:01:14,ok,5,POSITIVE
2025-12-10 14:58:40,sangat praktis,5,POSITIVE
2025-12-10 14:52:46,bagus,5,POSITIVE
2025-12-10 14:27:08,bagus dan sangat memudahkan,5,POSITIVE
2025-12-10 14:26:23,bgus,5,POSITIVE
2025-12-10 14:23:21,sangat bagus,5,POSITIVE
2025-12-10 14:08:39,sangat membantu dan sangat mudah di gunakan,5,POSITIVE
2025-12-10 14:08:11,"udah bayar tagihan tepat waktu, bahkan lebih awal sebelum jatuh tempo di tanggal 10. tiap gajian tgl 28 langsung bayar bisa2 nya 2x tagihan ga di hitung bln oktober dan november ga di hitung padahal usah bayar tagihan nya bisa2 nya kirim chat bahwasanya b",1,NEGATIVE
2025-12-10 14:06:23,"Tidak bisa digunakan, emang saya lupa paswordnya, begitu cari cara lain lupa pasword via SMS mlah ga di kirim2 OTP nya gimana sich,,",1,NEGATIVE
2025-12-10 13:40:23,sangat membantu,5,POSITIVE
2025-12-10 13:27:34,top,5,POSITIVE
2025-12-10 13:21:01,bagus,4,POSITIVE
2025-12-10 13:20:51,aplikasinya ngeleg butuh perbaikan lagi,5,NEGATIVE
2025-12-10 13:20:45,bagus,5,POSITIVE
2025-12-10 13:03:24,bgus,5,POSITIVE
2025-12-10 12:32:57,sangat membantu,5,POSITIVE
2025-12-10 12:26:52,jos,5,POSITIVE
2025-12-10 12:07:48,good,5,POSITIVE
2025-12-10 11:59:47,sangat membantu,5,POSITIVE
2025-12-10 11:52:12,aplikasinya mantap banget. __,5,POSITIVE
2025-12-10 11:44:46,lumayan mempermudah,4,POSITIVE
2025-12-10 11:31:01,org berobat di persulit. sdh miskin x indonesia rupanya.,1,NEGATIVE
2025-12-10 11:26:59,aplikasi nya sangat membantu masyarakat...,5,POSITIVE
2025-12-10 10:59:21,mantap,5,POSITIVE
2025-12-10 10:53:32,"baru mau berobat,eh dibatasi buat pendaftaran nya,gmna psien UGD...gx bsa ngebayangkan,jadwal control bsa terhambat lw di batasi",3,NEGATIVE
2025-12-10 10:42:54,enak dan gampang menggunakannya,5,POSITIVE
2025-12-10 10:41:36,aplikasi sangat baik,5,POSITIVE
2025-12-10 10:30:54,Top,5,POSITIVE
2025-12-10 10:30:05,"aplikasi layanan masyarakat seharusnya lebih memadai dan lancar saat penggunaan, untuk verifikasi terlalu ribet dan sering terjadi kesalahan. tolong perbaiki aplikasi ini agar lebih praktis digunakan.",2,NEGATIVE
2025-12-10 10:20:25,pelayanan nya jelek rujukan masih aktif tidak bisa di gunakan,1,NEGATIVE
2025-12-10 10:15:28,sangat membantu,5,POSITIVE
2025-12-10 10:00:44,Mudah mengakses dan merubah data,5,POSITIVE
2025-12-10 9:51:38,kok nggk bisa kebuka knp ya padahal saya di sini ikut JKN Mbayar bukan gratis dr pemerintah.... saya mbayarnya lewat potongan upah dr hasil buruh di PT Unggul Jaya Jepon Blora BLORA... TP KENAPA JMO SAYA JUGA NGGAK BISA DI BUKA PD HAL SAYA BUKAN GRATIS IK,5,NEGATIVE
2025-12-10 9:39:48,knp mau masuk aplikasi ga bs terus angka nik beda terus padahal sama biasanya kupakai nik sesuai KTP,4,NEGATIVE
2025-12-10 9:36:15,sangat baik dan efisien,5,POSITIVE
2025-12-10 8:47:40,sangat membantu,5,POSITIVE
2025-12-10 8:44:40,mantap sangat membantu,5,POSITIVE
2025-12-10 8:27:51,ok,5,POSITIVE
2025-12-10 8:17:35,mau daftar akun tidak bisa ada notif no hp anda telah di gunakan oleh peserta lain (bagai mana jika ada peserta yg salah masukan no hp nya ) jangan mempersulit donk aplikasi nya perbaiki lagih jangan mempersulit rakyat,1,NEGATIVE
2025-12-10 8:16:45,pusing make nya,3,NEGATIVE
2025-12-10 8:15:29,pelayana yg cepat,5,POSITIVE
2025-12-10 8:05:24,sangat memudahkan untuk data2 perserta dan lebih efisien dalam waktu.,5,POSITIVE
2025-12-10 7:47:47,nge scan wajah aja g bisa,1,NEGATIVE
2025-12-10 7:33:39,sangat membantu,5,POSITIVE
2025-12-10 7:28:18,"captcha tidak muncul, serta susah login",1,NEGATIVE
2025-12-10 7:24:52,"payah payah payah, aplikasi pemerintah kenapa selalu payah. sering logout ga jelas. mau daftar faskes harus daftar ulang dulu karena logout. mau login dipersusah, Nik salah lah, pasword salah lah. payah!!!!!!!",1,NEGATIVE
2025-12-10 7:07:09,mntap____,5,POSITIVE
2025-12-10 6:48:45,Sangat baik,5,POSITIVE
2025-12-10 6:29:06,baik,5,POSITIVE
2025-12-10 6:04:11,sekarang kok gak kaya dulu yah jkn nya malah suruh daftar lagi .dulu aman aman aja daftar sekali bisa dipakai lama tinggal masuk.sekrang knpa ribet bgt min,4,NEGATIVE
2025-12-10 5:55:58,Aplikasi yg sangat membantu!!,5,POSITIVE
2025-12-10 5:43:06,gabisa login aplikasi pemerintah ga guna ini mau sampai kapan seperti ini terus?,1,NEGATIVE
2025-12-10 5:28:09,bikin dongkol setiap buka aplikasi ribet kudung masukin no KTP kalo pasword wajar ga praktis masih bloon ni aplikasi ditambah ga singkron Ama paskesmya dah ambil no antrian lewat aplikasi pas udah sampe tempat katanya dah tutup padahal baru jam 11 di apli,1,NEGATIVE
2025-12-10 5:24:44,sangat membantu untuk orang yang sedang sakit,5,POSITIVE
2025-12-10 5:20:39,bagus sangat membantu,5,POSITIVE
2025-12-10 5:17:32,sangat puass,5,POSITIVE
2025-12-10 5:06:47,bagus,5,POSITIVE
2025-12-10 4:53:17,mantap,5,POSITIVE
2025-12-10 4:52:36,lelet,1,NEGATIVE
2025-12-10 4:48:26,bermanfaat,5,POSITIVE
2025-12-10 4:46:42,okey,5,POSITIVE
2025-12-10 4:42:50,Mudah dipahami,5,POSITIVE
2025-12-10 4:41:00,"ada pertanyaan kalo permintaan tidak diizinkan, apa yang bermasalah?",2,NEGATIVE
2025-12-10 4:38:21,sangat bagus dan bermanfaat untuk rakyat dan masyarakat,5,POSITIVE
2025-12-10 4:34:16,"berhasil login masuk, tapi kenapa saat mau buka beberapa fitur tulisannya anda tidak diizinkan.. mau daftar antrean online tidak bisa",2,NEGATIVE
2025-12-10 4:31:55,aplikasi bagus dan membantu,5,POSITIVE
2025-12-10 4:23:44,aplikasi yg bagus,5,POSITIVE
2025-12-10 4:19:47,"masa pas mau cek in di RS data kepesertaan di jkn mobilenya malah hilang, padahal sdh daftar online.",1,NEGATIVE
2025-12-10 4:10:47,"ngurusin penambahan peserta di via web online sangat susah,padahal sudah 2 x membayar peserta yang di tambahkan, di perbaiki web nya kerja yang bener jangan sering main2 kamu di bayar nya gak main2",1,NEGATIVE
2025-12-10 4:10:41,semakin mudah,5,POSITIVE
2025-12-10 4:00:01,"ini kenapa tiba"" ke-logout sendiri ya? terus pas mau masuk, captcha-nya muter"" loading doang ga bisa""",2,NEGATIVE
2025-12-10 3:53:44,apk lemotttt,1,NEGATIVE
2025-12-10 3:53:13,"aplikasi jkn loading gak ngebuka, error",1,NEGATIVE
2025-12-10 3:37:15,kenapa sering logout sendiri dan jika masuk malah dipersulit,1,NEGATIVE
2025-12-10 3:28:51,lawak gbisa login. ktrngan offline mlu,1,NEGATIVE
2025-12-10 3:25:22,"begus ,sangat membantu dalam pendaftaran pelayanan kesehatan . tapi aplikasinya sering error. sering logout sendiri padahal masih beberapa menit login. sering error ofline, padaahal sinyal aman. kadang ngeblank putih tidak bisa diapa apain. ini karena ban",4,POSITIVE
2025-12-10 3:24:49,good,5,POSITIVE
2025-12-10 3:22:18,bisa mempermudah layanan tapi sering lemot,5,POSITIVE
2025-12-10 3:20:19,ok,5,POSITIVE
2025-12-10 3:19:00,sangat membantu,5,POSITIVE
2025-12-10 3:11:02,bagus dan menolong,5,POSITIVE
2025-12-10 3:10:35,"saya kasih bintang 2 dulu, karna aplikasi nya tidak bisa menerima pesan, jdi susah untuk menyelesai kan pembayaran autodebit.",2,NEGATIVE
2025-12-10 3:09:27,ok bisa membantu,4,POSITIVE
2025-12-10 3:00:59,bagus,5,POSITIVE
2025-12-10 3:00:37,membantu pensiunan,5,POSITIVE
2025-12-10 2:58:32,sangat berguna,5,POSITIVE
2025-12-10 2:56:38,bagus aplikasinya,4,POSITIVE
2025-12-10 2:51:04,"saya mau bertanya,gunanya ada pendaftaran online itu apa ya, saya sampai klinik udh nunggu hampir sejam tetapi yg di panggil itu nomer antrian yg di bawah saya misalnya saya no urut A10 tapi yg di panggil duluuan A11 A12 saya di lewatin pas saya tnya ke p",1,NEGATIVE
2025-12-10 2:48:53,"Setiap mau ambil antrean secara online selalu saja gagal dengan keterangan ""Poli tidak ditemukan"". Kasian pasien yang rumahnya jauh dari rumah sakit,gak membantu sama sekali..",1,NEGATIVE
2025-12-10 2:47:48,tolong benerin mau riset pasword aj otp gak di kirim kirim,1,NEGATIVE
2025-12-10 2:44:08,bagus,5,POSITIVE
2025-12-10 2:42:55,"aplikasi jelek, udah di bayar tapi status di aplikasi ngga ilang",1,NEGATIVE
2025-12-10 2:36:31,sangat membantu,5,POSITIVE
2025-12-10 2:29:55,"download apk lain bisa, download mobile jkn gabisa aneh bgt, padahal perlu bgt urgent",3,NEGATIVE
2025-12-10 2:29:10,sangat mudah di akses,5,POSITIVE
2025-12-10 2:25:56,"aplikasi gk berguna, login gk bisa apa gunanya aplikasi ini sdh lama skali mw mw tp tdk bisa krn tdk muncul captha, bila tdk berfungsi knp pula ada apalikasi ini, pdhl aq mw ngecek tunggakan iuran bpjs",1,NEGATIVE
2025-12-10 2:18:51,"dg adanya aplikasi ini sangat membantu peserta BPJS, aplikasi cukup lengkap dan lancar penggunaanya",5,POSITIVE
2025-12-10 2:13:28,mempermudah ingat harus pakai internet yang kencang,5,POSITIVE
2025-12-10 2:05:52,sangat memuaskan kan,5,POSITIVE
2025-12-10 2:01:56,sangat membantu untuk pengguna mobile jkn,5,POSITIVE
2025-12-10 2:01:07,semoga bisa memberikan pelayanan yg terbaik,5,POSITIVE
2025-12-10 1:57:35,goodd,5,POSITIVE
2025-12-10 1:55:07,memuaskan ____,5,POSITIVE
2025-12-10 1:51:59,great,5,POSITIVE
2025-12-10 1:49:59,baiksekali,5,POSITIVE
2025-12-10 1:47:39,klw IT ga becus kerja pecat saja jng susahin orang aplikasi error tiap hari,1,NEGATIVE
2025-12-10 1:38:21,mudah dan cepat diproses,5,POSITIVE
2025-12-10 1:29:49,"aplikasi yg sudah terstruktur, semua sistem nya berfungsi dengan baik",5,POSITIVE
