CONTENT,RATING,LABELING
mudah di gunakan,5,POSITIVE
____________,5,POSITIVE
mantap untuk membantu pelayanan kesehatan masyarakat dan memudahkan akses berobat,5,POSITIVE
memudahkan pengguna jika mau ganti paskes kesehatan tidak harus ke kantor BPJS nya lagi,4,POSITIVE
Sangat membantu dalam Perubahan data apapun,5,POSITIVE
"gimana sih aplikasinya ini menyusahkan sekali sejak diperbarui, padahal awal dulu mudah, sekarang ribet banget. disuruh login masukin NIK dan password tetep aja salah padahal itu Uda bener seperti yg dulu awal bikin, masuk ke lupa kata sandi disuruh masuk",2,NEGATIVE
"jujur saja apk nya menyusahkan. mana tidak bisa di ss lagi. mau masuk aja susah banget, kode verify nya gak pernah dikirim-kirim.",1,NEGATIVE
"mantap, memuaskan",5,POSITIVE
sangat memmbantu,5,POSITIVE
top,5,POSITIVE
"Sederhana sajalah buat aplikasi mu jangan berlebihanlah, sebutkan nama untuk bulan yang lagi di bayarkan di setiap struk pembayaran biar jelas dan ingat, jangan ada lagi denda rawat inaplah biar rumah sakit tidak mempersulit pasien, kalau tidak bayar iura",1,NEGATIVE
bisa berobat kemana saja berada,5,POSITIVE
"saya setiap bulan selalu bayar tagihan BPJS tidak pernah telat tidak pernah lupa, tp nggak tau kenapa dibulan Desember kena premi, coba saya cek info pembayaran dibulan November tidak tercatat, terakhir pembayaran bulan 10, pdhl bulan 11 saya sudah bayar,",1,NEGATIVE
sangat membantu sekali,5,POSITIVE
"captcha gak keluar""",1,NEGATIVE
sangat bermanfaat dalam mengambil antrian jadi TDK lama di RS,5,POSITIVE
kok GK bisa di buka ya los konek terus padahal wifi normal,5,NEGATIVE
main naik versi makin menyusahkan...tidak bisa login captcha loading terus,1,NEGATIVE
Masa saya sudah pake wifi maupun kuota tapi masih kebaca anda offline gimna ini,2,NEGATIVE
"setelah update aplikasi malah suruh periksa jaringan mulu , padahal dibuat yt dll aman2 aja tapi di aplikasi suruh periksa jaringan mulu",1,NEGATIVE
"kenapa ya kalau udh tengah malam suka gangguan, loading lama bgt, malah ngga bisa di akses sama sekali. padahal internet lancar.",4,POSITIVE
"memang aplikasi paling buruk.. mau daftar rujukan aja susah periksa jaringan padahal wifi manteng trus, giliran bayar aja telat sebulan lgsung off tapi ini apkikasi bner2 najis .",1,NEGATIVE
kenapa saya log in tidak bisa kode capcha muter terus,1,NEGATIVE
aplikasi biasane gunanya buat memudahkan manusia klau ini malah pempersulit____,1,NEGATIVE
bagus,5,POSITIVE
lemot,1,NEGATIVE
aplikasi eror sudah online tapi pas buka jaringa offline,1,NEGATIVE
"aplikasi ampas, mau ambil antrian malah error",1,NEGATIVE
apaan mau daftar aja capcha nya loding terus,1,NEGATIVE
"bagaimana ini ,setelah di-update ke versi terbaru malah tak bisa login.selalu layar keluar tulisan periksa koneksi internet . padahal semua data dan koneksi WiFi full",2,NEGATIVE
"waktu ada kepentingan malah gabisa di login, padahal signal lancar normal"" aja",2,NEGATIVE
"sangat mengecewakan, jaringan lancar wifi atau pakai paket data, tetapi tetap susah untuk login, captcha tidak muncul sudah di tunggu lama.., sudah di ubah jaringan, mengecewakan.., udahlah ribet..",1,NEGATIVE
"apk kocak, mempersulit.. jaringan bagus tapi lag bat buat apa_ mending di jaksehat lancar jaya...",1,NEGATIVE
CAPTCHA MUTER MUTER TERUS GA BISA LOGIN. APLIKASI MACAM APA INI.,1,NEGATIVE
"Agak bingung kenapa setelah di upgrade bukannya semakin baik malah jd kacau. Sblm upgrade bisa screenshoot utk tiket pemeriksaan skrg sdh tdk bisa, kalau sistem baik2 sj tdk masalah tp skrg saat mau buka sll keluar cek koneksi internet smp bosen buka tutu",1,NEGATIVE
"Mau login udah 3hari kaga bisa2 gara2 capthanya gak keluar2 muter terus. Sedangkan skrg mau daftar faskes 1 harus lewat JKN, nyusahin bgt ini 3hari loh bener2 GAK BISA!!",1,NEGATIVE
"setiap mau bayar cicilan dan mau lihat nomornya slalu ada aja masalah sama apk nya.knp liat apk? karna kartunya udh hilang. dan setiap mau bayar slalu di update, setelah di update bukannya makin lancar di gunakan mala akun kluar dri apk dan disuruh masuka",2,NEGATIVE
sampah mau masih nunggu gatcha aja loading nya malam sampai subuh,1,NEGATIVE
error terus gabisa digunain pake wifi atau paket data tetep aja rusakkk,1,NEGATIVE
"Indonesia, Indonesia hadeh, kapan mau maju kalo aplikasi sepenting ini aja sering eror koneksi, apa gakbisa beli server yang bagusan, sinyal aman kok buka aplikasinya gakbisa",1,NEGATIVE
terlalu banyak bug.,1,NEGATIVE
mau log in susah min padahal udah di perbarui data masih banyak..kasih solusi min,5,POSITIVE
kode captcha ga keluar2,1,NEGATIVE
"sangat buruk,susah untuk login, mau ngecek dan daftar akun tidak bisa, buruk banget",1,NEGATIVE
good,5,POSITIVE
"aplikasi pemerintah kaya gini ada aja kendalanya , captca ngga keluar lama",1,NEGATIVE
gangguan tidak dapat diakses,1,NEGATIVE
"Buruk, sering gangguan, keterangan tidak ada internet, padahal kuota banyak, buka youtube lancar, browsing dll lancar.",1,NEGATIVE
kenapa ni login malah terdeteksi offline? padahal wifi on nyala terus,1,NEGATIVE
susah buat login kode capca nya muter terus,1,NEGATIVE
"aplikasi sampah gatcha muter"" doang",1,NEGATIVE
aplikasi gak bisa di pake,1,NEGATIVE
"sangat membantu, terimakasih BPJS dan Aplikasi JKN________",5,POSITIVE
"koneksi aman... buat youtube, aman buat game aman buat buka applikasi ini, kok disuruh cek koneksi? parah",1,NEGATIVE
bagus,5,POSITIVE
mobile jkn memudahkan pelayanan,5,POSITIVE
"Kemajuan aplikasi mobile jkn lebih bagus lagi, semogga selalu update lebih bagus lagi",5,POSITIVE
membantu,5,POSITIVE
oke,5,POSITIVE
ok,5,POSITIVE
sangat praktis,5,POSITIVE
bagus,5,POSITIVE
bagus dan sangat memudahkan,5,POSITIVE
bgus,5,POSITIVE
sangat bagus,5,POSITIVE
sangat membantu dan sangat mudah di gunakan,5,POSITIVE
"udah bayar tagihan tepat waktu, bahkan lebih awal sebelum jatuh tempo di tanggal 10. tiap gajian tgl 28 langsung bayar bisa2 nya 2x tagihan ga di hitung bln oktober dan november ga di hitung padahal usah bayar tagihan nya bisa2 nya kirim chat bahwasanya b",1,NEGATIVE
"Tidak bisa digunakan, emang saya lupa paswordnya, begitu cari cara lain lupa pasword via SMS mlah ga di kirim2 OTP nya gimana sich,,",1,NEGATIVE
sangat membantu,5,POSITIVE
top,5,POSITIVE
bagus,4,POSITIVE
aplikasinya ngeleg butuh perbaikan lagi,5,NEGATIVE
bagus,5,POSITIVE
bgus,5,POSITIVE
sangat membantu,5,POSITIVE
jos,5,POSITIVE
good,5,POSITIVE
sangat membantu,5,POSITIVE
aplikasinya mantap banget. __,5,POSITIVE
lumayan mempermudah,4,POSITIVE
org berobat di persulit. sdh miskin x indonesia rupanya.,1,NEGATIVE
aplikasi nya sangat membantu masyarakat...,5,POSITIVE
mantap,5,POSITIVE
"baru mau berobat,eh dibatasi buat pendaftaran nya,gmna psien UGD...gx bsa ngebayangkan,jadwal control bsa terhambat lw di batasi",3,NEGATIVE
enak dan gampang menggunakannya,5,POSITIVE
aplikasi sangat baik,5,POSITIVE
Top,5,POSITIVE
"aplikasi layanan masyarakat seharusnya lebih memadai dan lancar saat penggunaan, untuk verifikasi terlalu ribet dan sering terjadi kesalahan. tolong perbaiki aplikasi ini agar lebih praktis digunakan.",2,NEGATIVE
pelayanan nya jelek rujukan masih aktif tidak bisa di gunakan,1,NEGATIVE
sangat membantu,5,POSITIVE
Mudah mengakses dan merubah data,5,POSITIVE
kok nggk bisa kebuka knp ya padahal saya di sini ikut JKN Mbayar bukan gratis dr pemerintah.... saya mbayarnya lewat potongan upah dr hasil buruh di PT Unggul Jaya Jepon Blora BLORA... TP KENAPA JMO SAYA JUGA NGGAK BISA DI BUKA PD HAL SAYA BUKAN GRATIS IK,5,NEGATIVE
knp mau masuk aplikasi ga bs terus angka nik beda terus padahal sama biasanya kupakai nik sesuai KTP,4,NEGATIVE
sangat baik dan efisien,5,POSITIVE
sangat membantu,5,POSITIVE
mantap sangat membantu,5,POSITIVE
ok,5,POSITIVE
mau daftar akun tidak bisa ada notif no hp anda telah di gunakan oleh peserta lain (bagai mana jika ada peserta yg salah masukan no hp nya ) jangan mempersulit donk aplikasi nya perbaiki lagih jangan mempersulit rakyat,1,NEGATIVE
pusing make nya,3,NEGATIVE
pelayana yg cepat,5,POSITIVE
sangat memudahkan untuk data2 perserta dan lebih efisien dalam waktu.,5,POSITIVE
nge scan wajah aja g bisa,1,NEGATIVE
sangat membantu,5,POSITIVE
"captcha tidak muncul, serta susah login",1,NEGATIVE
"payah payah payah, aplikasi pemerintah kenapa selalu payah. sering logout ga jelas. mau daftar faskes harus daftar ulang dulu karena logout. mau login dipersusah, Nik salah lah, pasword salah lah. payah!!!!!!!",1,NEGATIVE
mntap____,5,POSITIVE
Sangat baik,5,POSITIVE
baik,5,POSITIVE
sekarang kok gak kaya dulu yah jkn nya malah suruh daftar lagi .dulu aman aman aja daftar sekali bisa dipakai lama tinggal masuk.sekrang knpa ribet bgt min,4,NEGATIVE
Aplikasi yg sangat membantu!!,5,POSITIVE
gabisa login aplikasi pemerintah ga guna ini mau sampai kapan seperti ini terus?,1,NEGATIVE
bikin dongkol setiap buka aplikasi ribet kudung masukin no KTP kalo pasword wajar ga praktis masih bloon ni aplikasi ditambah ga singkron Ama paskesmya dah ambil no antrian lewat aplikasi pas udah sampe tempat katanya dah tutup padahal baru jam 11 di apli,1,NEGATIVE
sangat membantu untuk orang yang sedang sakit,5,POSITIVE
bagus sangat membantu,5,POSITIVE
sangat puass,5,POSITIVE
bagus,5,POSITIVE
mantap,5,POSITIVE
lelet,1,NEGATIVE
bermanfaat,5,POSITIVE
okey,5,POSITIVE
Mudah dipahami,5,POSITIVE
"ada pertanyaan kalo permintaan tidak diizinkan, apa yang bermasalah?",2,NEGATIVE
sangat bagus dan bermanfaat untuk rakyat dan masyarakat,5,POSITIVE
"berhasil login masuk, tapi kenapa saat mau buka beberapa fitur tulisannya anda tidak diizinkan.. mau daftar antrean online tidak bisa",2,NEGATIVE
aplikasi bagus dan membantu,5,POSITIVE
aplikasi yg bagus,5,POSITIVE
"masa pas mau cek in di RS data kepesertaan di jkn mobilenya malah hilang, padahal sdh daftar online.",1,NEGATIVE
"ngurusin penambahan peserta di via web online sangat susah,padahal sudah 2 x membayar peserta yang di tambahkan, di perbaiki web nya kerja yang bener jangan sering main2 kamu di bayar nya gak main2",1,NEGATIVE
semakin mudah,5,POSITIVE
"ini kenapa tiba"" ke-logout sendiri ya? terus pas mau masuk, captcha-nya muter"" loading doang ga bisa""",2,NEGATIVE
apk lemotttt,1,NEGATIVE
"aplikasi jkn loading gak ngebuka, error",1,NEGATIVE
kenapa sering logout sendiri dan jika masuk malah dipersulit,1,NEGATIVE
lawak gbisa login. ktrngan offline mlu,1,NEGATIVE
"begus ,sangat membantu dalam pendaftaran pelayanan kesehatan . tapi aplikasinya sering error. sering logout sendiri padahal masih beberapa menit login. sering error ofline, padaahal sinyal aman. kadang ngeblank putih tidak bisa diapa apain. ini karena ban",4,POSITIVE
good,5,POSITIVE
bisa mempermudah layanan tapi sering lemot,5,POSITIVE
ok,5,POSITIVE
sangat membantu,5,POSITIVE
bagus dan menolong,5,POSITIVE
"saya kasih bintang 2 dulu, karna aplikasi nya tidak bisa menerima pesan, jdi susah untuk menyelesai kan pembayaran autodebit.",2,NEGATIVE
ok bisa membantu,4,POSITIVE
bagus,5,POSITIVE
membantu pensiunan,5,POSITIVE
sangat berguna,5,POSITIVE
bagus aplikasinya,4,POSITIVE
"saya mau bertanya,gunanya ada pendaftaran online itu apa ya, saya sampai klinik udh nunggu hampir sejam tetapi yg di panggil itu nomer antrian yg di bawah saya misalnya saya no urut A10 tapi yg di panggil duluuan A11 A12 saya di lewatin pas saya tnya ke p",1,NEGATIVE
"Setiap mau ambil antrean secara online selalu saja gagal dengan keterangan ""Poli tidak ditemukan"". Kasian pasien yang rumahnya jauh dari rumah sakit,gak membantu sama sekali..",1,NEGATIVE
tolong benerin mau riset pasword aj otp gak di kirim kirim,1,NEGATIVE
bagus,5,POSITIVE
"aplikasi jelek, udah di bayar tapi status di aplikasi ngga ilang",1,NEGATIVE
sangat membantu,5,POSITIVE
"download apk lain bisa, download mobile jkn gabisa aneh bgt, padahal perlu bgt urgent",3,NEGATIVE
sangat mudah di akses,5,POSITIVE
"aplikasi gk berguna, login gk bisa apa gunanya aplikasi ini sdh lama skali mw mw tp tdk bisa krn tdk muncul captha, bila tdk berfungsi knp pula ada apalikasi ini, pdhl aq mw ngecek tunggakan iuran bpjs",1,NEGATIVE
"dg adanya aplikasi ini sangat membantu peserta BPJS, aplikasi cukup lengkap dan lancar penggunaanya",5,POSITIVE
mempermudah ingat harus pakai internet yang kencang,5,POSITIVE
sangat memuaskan kan,5,POSITIVE
sangat membantu untuk pengguna mobile jkn,5,POSITIVE
semoga bisa memberikan pelayanan yg terbaik,5,POSITIVE
goodd,5,POSITIVE
memuaskan ____,5,POSITIVE
great,5,POSITIVE
baiksekali,5,POSITIVE
klw IT ga becus kerja pecat saja jng susahin orang aplikasi error tiap hari,1,NEGATIVE
mudah dan cepat diproses,5,POSITIVE
"aplikasi yg sudah terstruktur, semua sistem nya berfungsi dengan baik",5,POSITIVE
Tidak bisa ambil antrian perlu mengganti nomer Hp tapi untuk verifikasi tidak bisa.,1,NEGATIVE
BPJS sangat membantu dalam pembiayaan terutama masyarakat ekonomi menengah kebawah. Jika dapat di tingkat paskes (awal) jika melakukan berobat dengan keluhan sama yang di ulang beberapa kali (seperti saya dari tahun 2023 hingga saat ini keluhan flu berat:,5,POSITIVE
mantap jkn,5,POSITIVE
"Aplikasi gila,udah coba daptar berkali- kali eror terus. gimana sih ini?!",1,NEGATIVE
sangat membantu alhamdulilah,5,POSITIVE
oke mantap,5,POSITIVE
mantap,5,POSITIVE
"parah bos,tolong di perbaiki ini akun tidak bisa login jangan minta maaf terus",1,NEGATIVE
good,5,POSITIVE
"Kenapa harus update terus ya,kemudian sering eror",5,NEGATIVE
terimakasih bagus buat ngubah tanpa harus ke kantor nya langsung,5,POSITIVE
sangat bgus dan cepat,5,POSITIVE
terus berbuat yang terbaik,5,POSITIVE
ada peningkatan,5,POSITIVE
ok la tapi sering susah kalo mau antri online,3,NEGATIVE
"aplikasinya tidak bisa discreenshoot, lalu mau ambil nomor antrian dipoli selalu penuh. Parah. kenapa tidak seperti dulu saja, antrian langsung dipoli tanpa dibatasi pelayananya.",1,NEGATIVE
iklan terooos,1,NEGATIVE
"ngga bisa login. Sudah kirim pengaduan tapi jawaban sama sekali ngga guna. Suruh reset password, tapi apk nya ngga bisa ngiri OTP sudah berkali kali dicoba .pulsa pun ada. ngga ada solusi pdhl sudah berbulan bulan",1,NEGATIVE
"percuma pake antrian online, sampe klinik di tolak karna kuota BPJS habis!!! satu lagi kebingungan saya kenapa ada menu marketplace di dalam aplikasi ini yang mengarahkan ke marketplace nya ketika di klik???",1,NEGATIVE
sangat bagus,5,POSITIVE
setiap kali buka harus login dulu pake nomer KTP.. ada baiknya masuk sekali saja,1,NEGATIVE
sangat gampang dh aplikasikan..t erimakasih,5,POSITIVE
cepat dan mudah di gunakan,5,POSITIVE
muantaaaab,5,POSITIVE
"sangat mudah dan aman,,juga sesuai harapan",5,POSITIVE
sangat membantu,5,POSITIVE
"Bintang berbicara karena ini program dari pemerintah daerah dan pusat, untuk indepidu, harapan semua tampa kendala.",5,POSITIVE
membantu sekali,5,POSITIVE
top,5,POSITIVE
"apalah apk buruk, biometrik ngga selesai_",1,NEGATIVE
"log in ga bisa tot , perbaikin apk nya napa , atau sengaja biar tdk bisa akses masuk ke apk nya , gatelll",1,NEGATIVE
"makin kesini makin menyusahkan,, GK bisa login, bilangnya nik salah terus,",1,NEGATIVE
"Aplikasi jelek. bikin yang bener! mau login aja repot. nyusahin, gabisa diklik masuk. dari pada nyuruh bikin laporan ke email atau datang langsung mending benerin ni aplikasi. udh banyak keluhan tapi ga dibener benerin. jadi pegawai digaji rakyat, kerja y",1,NEGATIVE
"dari update yang terbaru sekarang ga bisa Screenshot padahal mau di fotocopy tapi ga bisa kenapa si ini mobile jkn? di benerin dong, mau foto copy nih",1,NEGATIVE
"padahal udah punya akun sudah memasukan NIK sama password dengan benar.. kenapa pas mau login salah terus, susah amat aplikasinya di pake login",2,NEGATIVE
"gagal muluk aplikasi apaan sich GK jelas menyusahkan aja,",1,NEGATIVE
Terimakasih bpjs.,5,POSITIVE
Alhamdulillah,5,POSITIVE
pelayanan cepat,5,POSITIVE
masih oke,5,POSITIVE
"gak ngerti buat mendaftar log in, kok harus ada kode referral segala? Bukannya memudahkan tapi memperSulit!",1,NEGATIVE
lumayan bagus,4,POSITIVE
bagus aplikasinya,4,POSITIVE
bagus,5,POSITIVE
jadi mudah,5,POSITIVE
sangat bermanfaat,5,POSITIVE
pelayanan bagus,5,POSITIVE
terbaik bos,5,POSITIVE
customer service setiap ada masalah sistem di aplikasi malah suruh tanyakan ke rumah sakit apa fungsi nya customer servis tidak menyelesaikan masalah kalau begitu,1,NEGATIVE
aplikasi yang sangat bagus dan sangat membantu,5,POSITIVE
apknya eror untuk login gak bisa tolong di benerin dong,1,NEGATIVE
aplikasi tolool,1,NEGATIVE
suka error,1,NEGATIVE
sudah paling Update malah eror terussssss,1,NEGATIVE
"ga bisa login, captcha nya muter doang",2,NEGATIVE
"kita daftar berobat harus lewat online,tapi kenyataan dari aplikasi ini apa?suka keluar sendiri, waktu mau login lagi, tidak bisa bisa, selau loading padahan apk lain tidak loading, mau berobat saja susah, padahal kita aja bayar meskipun itu perbulan!!!,m",1,NEGATIVE
"tolong di perbaiki, kode captha muter doang gak muncul_... jadi gak bisa login paketan padahal aman jaringan kenceng, sampe hp di restar berkali2 sama aja masih gak bisa",1,NEGATIVE
Bikin ribed aja aplikasi pas lagi dibutuhin sering error padahal orang sakit harus buru2 ditangani.,1,NEGATIVE
"setiap bulan update aplikasi dan slalu login, tapi setiap log-in selalu susah yg caphca tidak tampil,yg aplikasi eror bukan membatu malah buat ribet",1,NEGATIVE
"dikasih chapta, eh malah muter2. gimana loginnya klo kaya gini",1,NEGATIVE
terlog-out sendiri dan tdk bisa login. dulu bagus skrg kok turun performa. saya tidak yakin aplikasi ini mendapat rating 4.5 bintang saya baca hampir rata_ memberi nilai 1 bintang,1,NEGATIVE
"mau login aja susah banget, captcha nya muter2 mulu",1,NEGATIVE
"aplikasi bodoh, orang dimana mana bikin software untuk mempermudah pengguna, ini justru makin mempersulit pengguna, orang mau berobat udah setengah mati pun harus ngingat ngingat password dulu, lawak",1,NEGATIVE
sudah update malah gabisa log in,1,NEGATIVE
tidak bisa login capcha tidak keluar,1,NEGATIVE
apk ga bisa di pake ga update nyusahin banget sumpah orang mau berobat malah ga bisa login su,1,NEGATIVE
kenapa mau login captcha muter2 terus? tolong dong d perbaiki,2,NEGATIVE
tidak bisa log in stak terus di menu log in,2,NEGATIVE
"semenjak di perbarui kenapa JD susah eror Mulu, mau berobat jkn nya eror terus ,",2,NEGATIVE
aplikasi yg MEMPERSULIT orang. susah sekali mau log in. berbenah coba. !,1,NEGATIVE
gabisa d gunakan selalu eror,1,NEGATIVE
Sulit login,1,NEGATIVE
"orang mau berobat captcha nya muter2 doank, gk ad yg monitoring aplikasinya apa?",2,NEGATIVE
sangat membantu,4,POSITIVE
"sering logout sendiri, di samsung S23 ultra. Setiap ada update selalu logout. Ini captcha nya error jadi tidak bisa login. Tolong ya kak",2,NEGATIVE
servernya lemot,2,NEGATIVE
"Pasword sydwh benar dan captcha sudah bener masih saja gak bisa,,,apa sih maunya aplikasi ini",1,NEGATIVE
ini yang bikin aplikasi niat ga ?? errorr terusss sistem nya !!!! coba lagi coba lagi,1,NEGATIVE
aplikasi aneh gangguan mulu duit nya di korup mulu sih engga bner kalah ama server roblox,1,NEGATIVE
login susah banget,3,NEGATIVE
"gabisa login, padahal kuota aman jaringan pun stabil",1,NEGATIVE
"suka tiba-tiba keluar sendiri pas mau masuk lagi gak bisa,, loading terus,, payah",1,NEGATIVE
Tidak bisa login walau sinyal dan identitas telah dimasukkan dengan benar.,1,NEGATIVE
keluar mulu dan susah masuknya,1,NEGATIVE
susah buat akun bnyk bug,3,NEGATIVE
kenapa ini jaringan ?? tidak bisa masuk,1,NEGATIVE
kenapa ya sekarang eror Mulu tolong lah perbaiki kekurang nya,1,NEGATIVE
error mulu __,1,NEGATIVE
Aplikasi nyusahin..... ERORRRRRRRRRR NGGA BISA MASUK,1,NEGATIVE
"ini aplikasi bobrok banget dah gilaa mau login sama buat akun susah nya minta ampun, giliran makan uang rakyat aja cepet",2,NEGATIVE
ok,5,POSITIVE
ribet jncok kita mau berobat mlh d persulit tinggal dtng daftar mlh d sruh pke apk login ngk mau msuk msuk INTINYA RIBETTT,1,NEGATIVE
"Mau dipake pendaftaran, login ajh susah, minta tolong diperbaiki Trimakasih",2,NEGATIVE
ada beberapa kendala tapi overall bagus,4,POSITIVE
dapat membantu orang orang,5,POSITIVE
error. ga bisa ambil antrian,1,NEGATIVE
cepat responnya dan mudah menggunakan nya,5,POSITIVE
Sangat Membantu terima kasij mobile jkn,5,POSITIVE
bikin ribet doang __,1,NEGATIVE
habis periksa poli umum dan akan daftar untuk poli gigi hari selanjutnya tidak dapat masuk karena riwayat pendaftaran masih dan tidak ada menu hapus riwayat daftar tak kasih bintang 2 dulu,2,NEGATIVE
mantap aplikasinya sangat membantu,5,POSITIVE
mantap sangat membantu,5,POSITIVE
sangat membantu,5,POSITIVE
Alhamdulillah sekarang sudah bisa cuma ya masih bingung kok bisa nomor dibilang sudah dipakai padahal belum pernah buat sebelumnya,4,NEGATIVE
ini aplikasi jkn knp. erory ketutup sendiri hrs masuk dftr ulang.. kita nih ngecek aplikasi utk byr.. aneh bngt.. bikin ribet dftr ulang mskin no nik dll.. jgn di bikin ribet lah.. kita byr tepat wkt utk. di pake aj kagak. inibpjs.. cuma untuk cek mau BAY,3,NEGATIVE
mudah menggunakannya,5,POSITIVE
"update mulu, giliran login tidak bisa masuk,mau ganti kata sandi kode OTP tidak dikirim kan.",3,NEGATIVE
sangat membantu,5,POSITIVE
ok,4,POSITIVE
aplikasinya bagus sekali,5,POSITIVE
aplikasi tidak berguna dan menyusahkan,1,NEGATIVE
ok bet,5,POSITIVE
"susah amat mau verifikasi minta kode wa kita ke wa kembali ke jkn dah ilang, begitu terus, minta kode mail, kita tinggal buka mail kembali ke halaman jkn dah ilang lagi..",3,NEGATIVE
sangat membantu,5,POSITIVE
sangat membantu,5,POSITIVE
memudahkan kita untuk meningkatkan kesehatan,5,POSITIVE
mantap,5,POSITIVE
kode di SMS gak masuk2 pulsa udah abis hadeh,1,NEGATIVE
sangat membantu,5,POSITIVE
"verifikasi wajah gabisa, daftar ambil antrian jg gabisa",1,NEGATIVE
"satu dari ribuan layanan pemerintah yang tidak ribet, tidak berbelit-belit dan sangat membantu masyarakat benar benar berdedikasi untuk melayani masyarakat dan integritas tinggi defenisi sebenarnya dari integritas dan melayani dengan sepenuh hati adalah c",5,POSITIVE
respon cepat,5,POSITIVE
"mempermudah urusan utk mengubah data peserta jg faskes pertama,mantap moga dpt dipermudah segala urusannya,terimakasih",5,POSITIVE
banyak eror nya ini aplikasi,1,NEGATIVE
sudah bagus mantap,5,POSITIVE
Sangat membantu dan mempermudah,5,POSITIVE
sangat mebantu,5,POSITIVE
sudah 2 minggu ngebug terus..padahal saya butuh buat ambil antrian..tolong diperbaiki..,1,NEGATIVE
tolong sediakan fitur ss,4,NEGATIVE
"susah login, katanya no antian rs biar cepat lewat aplikasi ini nyatanya login aja susah banget",1,NEGATIVE
mantap,5,POSITIVE
"Saya login apk tp logout sendiri dan ada keterangan udh login di perangkat lain. Saat itu saya langsung amanin akun dan ganti passowrd. Tp pas login kenapa ga jadi ya? NIK, password dan kode captcha udh bener tp salah mulu ga bisa masuk. Tolong dibantu bu",3,NEGATIVE
terima kasih,5,POSITIVE
luar biasa hebat,5,POSITIVE
Udah berulang kali minta kode verifikasi otp kagak pernah muncul,1,NEGATIVE
apakah aplikasi ini bisa di akses 2 KK kalau bisa caranya gimna?,5,NEGATIVE
sangat membantu... ga usah ribet datang ke kantor BPJS dan lama ngantri... tinggal klik klik beres.... terus banyak fitur dan kelebihan nya LG .. ga percaya download donk...,5,POSITIVE
memudahkan peserta..dlm urusan kesehatan.ke RSUD,5,POSITIVE
"Saya mau nambah peserta untuk anak saya, tapi nggak bisa dengan alasan bayi baru lahir, padahal jelas-jelas data yang saya isi tahun lahir anak saya 2023, Ini terjadi berulang, dari 2023, 2024, dan bahkan sekarang 2025 saya coba lagi, ternyata masih nggak",4,NEGATIVE
kurang nya no antrian suka ngilang sndri jdi susah liat nya lagi,4,NEGATIVE
aplikasinya sangat memudahkan saya dan keluarga,5,POSITIVE
membantu memudahkan pendaftaran,4,POSITIVE
"sering keluar sendiri dari aplikasi jkn,kemudian login lagi susah masuk",1,NEGATIVE
ok bgd,5,POSITIVE
mudah,5,POSITIVE
ini aplikasi gimana ya.. suka log out sendiri.. mau daftar antrian buat kontrol susah padahal rujukan sudah baru. kan capek harus log in terus. setelah coba log in gak bisa.. ngisi data sudah benar2. malah suruh mengulang2 terus.,2,NEGATIVE
proses perubahan data cepat terima kasih,5,POSITIVE
Bagus banyak kemajuan dan sangat bermanfaat.,5,POSITIVE
akun sering keluar sendiri,1,NEGATIVE
mantap jaya,5,POSITIVE
"nice pertahankan jgn berhenti ditengah jalan, kebiasaan pemerintah ganti pimpinan ganti aplikasi, kalo sudah bagus lanjutkan dan lebih dilengkapi dan di tingkatkan kecepatan servernya agar makin baik aplikasinya",5,POSITIVE
semoga kedepan nya makin lancar,5,POSITIVE
abis di update... log-in ulang lagi.. di login GK bisa ... pakai lupa sandi ..no verifikasi gak di kirim.. coba hari berikutnya sama aja .. Ampe sekarang masih gak bisa.. pakai cara apalagi supaya bisa log- in,1,NEGATIVE
"Alhamdulillah semakin mudah dan semakin terbantu berkat adanya mobile jkn periksa lebih gampang, banyak informasi nya juga terima kasih jkn ______________________",5,POSITIVE
"KENAPA TIBA-TIBA LOGOUT, APLIKASI RIBET, KEBANYAKAN CHAPTA!!!!!",1,NEGATIVE
sangat membantu,5,POSITIVE
"seperti aplikasi pemerintah pada umumnya, TIDAK cepat, TIDAK lancar, sering TIDAK berhasil input data tidak bisa daftar online sudah 1 Minggu lebih, dengan keterangan kuota penuh, sudah dipastikan di klinik yg saya tuju, masih kosong pendaftaran atau kuot",1,NEGATIVE
"tidak bisa masuk, aplikasi parah",1,NEGATIVE
ok mantap,5,POSITIVE
mantap,5,POSITIVE
sangat membantu,5,POSITIVE
sangat membantu saat menjalani perawatan,5,POSITIVE
Kenapa ya susah banget ngirim kode otp doang. Trs ga ada kah pengaturan yang ngatur buat ganti nomer hp atau gmail. Tolonglah binding aplikasi ini sama gmail atau aplikasi lain tuh harus ada biar ga nyusahin jangan pas bikin akun doang _____,1,NEGATIVE
pelayanannya bagus,5,POSITIVE
mudah praktis aman untuk melakukan perubahan data secara online terimakasih,5,POSITIVE
sangat memudahkan untuk ambil antrian,5,POSITIVE
tambah ke sini tambah ribet tiap mau buka aplikasi harus login ulang bahkan sering gagal,1,NEGATIVE
bagus,5,POSITIVE
"aneh sekali aplikasi mobile JKN ini, mau log in eh akun gak terdaftar, terus daftar pemberitahuannya akun sdh terdaftar, coba log in lagi malah tidak terdaftar..! bukannya dipermudah malah dipersulit!",1,POSITIVE
heran suka banget log out sendiri mau log in lagi lupa salah mulu password nya. ga bisa log in! capek!,5,NEGATIVE
simple,5,POSITIVE
